sample_id,filename,class_id
0,a/abbey/sun_aakbdcgfpksytcwj.jpg,1
1,a/abbey/sun_aaoktempcmudsvna.jpg,1
2,a/abbey/sun_abegcweqnetpdlrh.jpg,1
3,a/abbey/sun_acguwqihawgzdnju.jpg,1
4,a/abbey/sun_acmeiclstytiwnge.jpg,1
5,a/abbey/sun_adkmtwzsqvjxuxkb.jpg,1
6,a/abbey/sun_adwaigzwuxuvitrh.jpg,1
7,a/abbey/sun_adyaeibdsmigleig.jpg,1
8,a/abbey/sun_aecpkgfewqqreqwe.jpg,1
9,a/abbey/sun_aezyeylfdgocpali.jpg,1
10,a/abbey/sun_afkhvtwktbyrgtmw.jpg,1
11,a/abbey/sun_aflxihjmvgahhvdv.jpg,1
12,a/abbey/sun_agmujncxfjrtenzs.jpg,1
13,a/abbey/sun_aguqrsydpmnftgfw.jpg,1
14,a/abbey/sun_ahiooqpekjcgzxud.jpg,1
15,a/abbey/sun_aiogdgjrbrgwoldg.jpg,1
16,a/abbey/sun_aiwwobnvofibjggm.jpg,1
17,a/abbey/sun_ajblooupyqwdvzgx.jpg,1
18,a/abbey/sun_akeacyqqafcecdbg.jpg,1
19,a/abbey/sun_akhbfkhsgyheoulz.jpg,1
20,a/access_road/sun_aafdhgtqzikmxoll.jpg,2
21,a/access_road/sun_aajbhfsssjojylcw.jpg,2
22,a/access_road/sun_abcgdjrcxmncdaht.jpg,2
23,a/access_road/sun_acyiwhsbcwlotybd.jpg,2
24,a/access_road/sun_adcnesbewvfmnfxh.jpg,2
25,a/access_road/sun_ahsirvbzddqizrxd.jpg,2
26,a/access_road/sun_ahwugxdwvldcesmn.jpg,2
27,a/access_road/sun_ajcssctcxxowdfbs.jpg,2
28,a/access_road/sun_ajottjxfxgkaoiqy.jpg,2
29,a/access_road/sun_akxkraecdemenrwt.jpg,2
30,a/access_road/sun_akxpqygihxvzeujo.jpg,2
31,a/access_road/sun_anorofjqndvviewi.jpg,2
32,a/access_road/sun_aofqbslnxtztllng.jpg,2
33,a/access_road/sun_apenmwoedrfltrhu.jpg,2
34,a/access_road/sun_apgxafscsgkhdiqa.jpg,2
35,a/access_road/sun_aqfkmufjxdbrhzeo.jpg,2
36,a/access_road/sun_arbboqgqnnsjphcr.jpg,2
37,a/access_road/sun_ardkooutxmkycoiy.jpg,2
38,a/access_road/sun_armdubdwrnqvanjb.jpg,2
39,a/access_road/sun_arzpyyzgycwcxqpm.jpg,2
40,a/airfield/sun_adslcmvnrafueyju.jpg,3
41,a/airfield/sun_aepivtatepzallbm.jpg,3
42,a/airfield/sun_afrlkwnfslkydaly.jpg,3
43,a/airfield/sun_afxhnznofjnlysre.jpg,3
44,a/airfield/sun_agvltooxfpftsrmg.jpg,3
45,a/airfield/sun_ahisixpfyodijosl.jpg,3
46,a/airfield/sun_ahnovyexdxeuvghs.jpg,3
47,a/airfield/sun_akvynierzftfepky.jpg,3
48,a/airfield/sun_amitrosygehdeufb.jpg,3
49,a/airfield/sun_andmnmhominoumgz.jpg,3
50,a/airfield/sun_anzktdullwvmicja.jpg,3
51,a/airfield/sun_apvqcklwdesmuagn.jpg,3
52,a/airfield/sun_apzyotxyhtkuacgh.jpg,3
53,a/airfield/sun_asquniztxuiwualu.jpg,3
54,a/airfield/sun_bdmwwhfoqkfyccde.jpg,3
55,a/airfield/sun_bdpfkpghqgvzsipc.jpg,3
56,a/airfield/sun_bhlazecjfmiyxbtg.jpg,3
57,a/airfield/sun_bjdpgbtglrjtkrsl.jpg,3
58,a/airfield/sun_bkoykzhsrosredze.jpg,3
59,a/airfield/sun_boqosnzfccbkljtq.jpg,3
60,a/airlock/sun_aalgvlxcyjeajlla.jpg,4
61,a/airlock/sun_acwyzvggchetltzv.jpg,4
62,a/airlock/sun_aenfetxfeupuohpe.jpg,4
63,a/airlock/sun_ahjqjmtgrbluoptr.jpg,4
64,a/airlock/sun_ahkhojddsgvergqi.jpg,4
65,a/airlock/sun_aipxxhgriqocjobm.jpg,4
66,a/airlock/sun_aipyedlzueushdzu.jpg,4
67,a/airlock/sun_ajeqowkbzbdlukti.jpg,4
68,a/airlock/sun_ajtloigtaqfrhwks.jpg,4
69,a/airlock/sun_ajxkvzorotqdvdry.jpg,4
70,a/airlock/sun_aknukeopvziabmzb.jpg,4
71,a/airlock/sun_akqojfzsnkfukcwq.jpg,4
72,a/airlock/sun_amsjhtunfjpvctwv.jpg,4
73,a/airlock/sun_anjgpcrfxqawdfjf.jpg,4
74,a/airlock/sun_aoclbfdlucjvlzju.jpg,4
75,a/airlock/sun_aozprrlnfopvvfsw.jpg,4
76,a/airlock/sun_aprhoysuozangfee.jpg,4
77,a/airlock/sun_apzbjfkjuosnpfri.jpg,4
78,a/airlock/sun_aqhrltqxgasvjixm.jpg,4
79,a/airlock/sun_arhdzofgcrydruxn.jpg,4
80,a/airplane_cabin/sun_aajrkgygaguuddbv.jpg,5
81,a/airplane_cabin/sun_aanoyykhajnceqyv.jpg,5
82,a/airplane_cabin/sun_acmcpvbknqctkaba.jpg,5
83,a/airplane_cabin/sun_acyjqznaicukdsrh.jpg,5
84,a/airplane_cabin/sun_adfvuswdefnwpirb.jpg,5
85,a/airplane_cabin/sun_adprjgxjrivcindz.jpg,5
86,a/airplane_cabin/sun_afuoinkozbbhqksk.jpg,5
87,a/airplane_cabin/sun_agqabtaqxxhvoyuh.jpg,5
88,a/airplane_cabin/sun_aiotdxtxpqjxgcin.jpg,5
89,a/airplane_cabin/sun_ajbqldbtefoqflsa.jpg,5
90,a/airplane_cabin/sun_ajeqddcvcjtwboie.jpg,5
91,a/airplane_cabin/sun_akkhmhhvmqrfkpkp.jpg,5
92,a/airplane_cabin/sun_amnfyehaljzgfcdy.jpg,5
93,a/airplane_cabin/sun_amtmxjtbapwpyiit.jpg,5
94,a/airplane_cabin/sun_amuhbzmdjkougjdn.jpg,5
95,a/airplane_cabin/sun_aneccgphgfiyjahw.jpg,5
96,a/airplane_cabin/sun_anfeytgczrmbnoij.jpg,5
97,a/airplane_cabin/sun_angpojenexsynhfi.jpg,5
98,a/airplane_cabin/sun_aoapleyurhbbromo.jpg,5
99,a/airplane_cabin/sun_aotcbqxkungjmspm.jpg,5
100,a/airport/airport/sun_aajqjnzswlmdcmyl.jpg,6
101,a/airport/airport/sun_aelkzcvlquyyzxlu.jpg,6
102,a/airport/airport/sun_ahspxpvthtfwplib.jpg,6
103,a/airport/airport/sun_akhqgzrrubgnwzpa.jpg,6
104,a/airport/airport/sun_akzzhyuyqjksqovd.jpg,6
105,a/airport/airport/sun_aldajamdvyftbndq.jpg,6
106,a/airport/airport/sun_amansbcqkkobovhq.jpg,6
107,a/airport/airport/sun_ammfdrzrfvjsqahx.jpg,6
108,a/airport/airport/sun_aojbxgadgjyajeaw.jpg,6
109,a/airport/airport/sun_aonhxkxmksvewqlr.jpg,6
110,a/airport/airport/sun_apryudtkjxleibce.jpg,6
111,a/airport/airport/sun_aqogketumcqznmzs.jpg,6
112,a/airport/airport/sun_aqytxlpqgdgggfum.jpg,6
113,a/airport/airport/sun_arunvgswczsbyzkp.jpg,6
114,a/airport/airport/sun_avsvqpaowlicxlxn.jpg,6
115,a/airport/airport/sun_avyxtpthsxbigblb.jpg,6
116,a/airport/airport/sun_axozkinuprdzvabc.jpg,6
117,a/airport/airport/sun_axuntpkgfijknxde.jpg,6
118,a/airport/airport/sun_axyoqqhxaeocbixs.jpg,6
119,a/airport/airport/sun_bcuhpzlstlrcyegu.jpg,6
120,a/airport/entrance/sun_aaokxdogeyduicjw.jpg,7
121,a/airport/entrance/sun_aduxjnkcugmhcpag.jpg,7
122,a/airport/entrance/sun_agchhqpsdjqwmrcb.jpg,7
123,a/airport/entrance/sun_ainpqoalfsqkxogl.jpg,7
124,a/airport/entrance/sun_akyryspcupjqmqqx.jpg,7
125,a/airport/entrance/sun_asimhuxhlemcrozs.jpg,7
126,a/airport/entrance/sun_astnegfuzjwevhbe.jpg,7
127,a/airport/entrance/sun_ausrjelvdavjfvcg.jpg,7
128,a/airport/entrance/sun_bbleaylztarsqofu.jpg,7
129,a/airport/entrance/sun_bdgclghldmsgubka.jpg,7
